Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6979826,"Nemesis (Harry Hole, #4)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""0061655511""","=""9780061655517""",0,Harper Perennial,Paperback,474,2010,2002,,2026/05/10,,,read,,,,0,0
20553047,"Červenka (Harry Hole, #3)",Jo Nesbø,"Nesbø, Jo","Kateřina Krištůfková, Lucie Mrázová","=""""","=""""",0,Kniha Zlín,Hardcover,578,2014,2000,,2026/05/10,,,read,,,,0,0
6454721,"Harry Potter a relikvie smrti (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.","Pavel Medek, J.K. Rowlingová","=""8000021226""","=""9788000021225""",0,Albatros,Hardcover,627,2008,2007,,2026/05/10,,,read,,,,0,0
6454644,"Harry Potter a Fénixův řád (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.","Pavel Medek, J.K. Rowlingová","=""8000012944""","=""9788000012940""",0,Albatros,Hardcover,800,2004,2003,,2026/05/10,,,read,,,,0,0
6454669,"Harry Potter a Ohnivý pohár (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Vladimír Medek, J.K. Rowlingová","=""8000009943""","=""9788000009940""",0,Albatros,Hardcover,571,2001,2000,,2026/05/10,,,read,,,,0,0
294519,"Harry Potter a vězeň z Azkabanu (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.","Pavel Medek, J.K. Rowlingová","=""800000951X""","=""9788000009513""",0,Albatros Praha,Hardcover,389,2001,1999,,2026/05/10,,,read,,,,0,0
6454728,"Harry Potter a Tajemná komnata (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",J.K. Rowlingová,"=""8000010410""","=""9788000010410""",0,Albatros,Hardcover,290,2002,1998,,2026/05/10,,,read,,,,0,0
6454654,"Harry Potter a Kámen mudrců (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.","Vladimír Medek, Galina Miklínová, J.K. Rowlingová","=""8000007886""","=""9788000007885""",0,Albatros,Hardcover,285,2000,1997,,2026/05/10,,,read,,,,0,0
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",0,Harpertorch,Mass Market Paperback,243,2001,1987,,2026/05/10,,,read,,,,0,0
6496852,"Soudné sestry (Úžasná Zeměplocha, #6; Čarodějky, #2)",Terry Pratchett,"Pratchett, Terry",Jan Kantůrek,"=""8085609681""","=""9788085609684""",0,Talpress,Paperback,330,1996,1988,,2026/05/10,,,read,,,,0,0
6495218,"Lehké fantastično (Úžasná Zeměplocha, #2)",Terry Pratchett,"Pratchett, Terry",Jan Kantůrek,"=""8085609290""","=""9788085609295""",0,Talpress,Paperback,271,1996,1986,,2026/05/10,,,read,,,,0,0
6495199,"Barva kouzel (Úžasná Zeměplocha, #1; Mrakoplaš, #1)",Terry Pratchett,"Pratchett, Terry",Jan Kantůrek,"=""8085609282""","=""9788085609288""",0,Talpress,Paperback,292,1993,1983,,2026/05/10,,,read,,,,0,0
6288724,Hobit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""8675600038""","=""9788675600039""",0,Solaris,Paperback,361,2002,1937,,2026/05/10,,,read,,,,0,0
4506507,"Návrat krále (Pán prstenů, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",Stanislava Pošustová-Menšíková,"=""8020402594""","=""9788020402592""",0,Mladá Fronta,Hardcover,410,1992,1955,,2026/05/10,,,read,,,,0,0
4506493,"Dvě věže (Pán prstenů, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",Stanislava Pošustová-Menšíková,"=""8020401946""","=""9788020401946""",0,Mladá fronta,Hardcover,316,1991,1954,,2026/05/10,,,read,,,,0,0
36624194,"Pán prstenů (Pán prstenů, #1-3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""8025718638""","=""9788025718636""",0,Argo,Paperback,1266,2016,1959,,2026/05/10,,,read,,,,0,0
23505783,Bouřková sezóna,Andrzej Sapkowski,"Sapkowski, Andrzej",Stanislav Komárek,"=""8074770508""","=""9788074770500""",0,Leonardo,Paperback,368,2014,2013,,2026/05/10,,,read,,,,0,0
6821429,"Paní jezera (Zaklínač, #7)",Andrzej Sapkowski,"Sapkowski, Andrzej",Stanislav Komárek,"=""8085951193""","=""9788085951196""",0,Leonardo,Paperback,561,2000,1999,,2026/05/10,,,read,,,,0,0
6821410,"Věž vlaštovky (Zaklínač, #6)",Andrzej Sapkowski,"Sapkowski, Andrzej",Stanislav Komárek,"=""808595107X""","=""9788085951073""",0,Leonardo,Paperback,433,1998,1997,,2026/05/10,,,read,,,,0,0
6821374,"Křest ohněm (Zaklínač, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Stanislav Komárek,"=""8085951118""","=""9788085951110""",0,Leonardo,Paperback,342,1999,1996,,2026/05/10,,,read,,,,0,0
6821368,"Čas opovržení (Zaklínač, #4)",Andrzej Sapkowski,"Sapkowski, Andrzej",Stanislav Komárek,"=""8085951088""","=""9788085951080""",0,Leonardo,Paperback,330,1998,1995,,2026/05/10,,,read,,,,0,0
