author_name,cz_title,en_title,language,desc
Johann Wolfgang Goethe,Utrpení mladého Werthera,The Sorrows of Young Werther,CZ,
Mikhail Bulgakov,Mistr a Markétka,The Master and Margarita,CZ,
F.M. Dostojevskij,Zločin a trest,Crime and Punishment,CZ,
F.M. Dostojevskij,Zápisky z mrtvého domu,The House of the Dead,CZ,
F.M. Dostojevskij,Idiot,The Idiot,CZ,
Henry Kissinger,Uspořádání světa,World Order,CZ,
Jan Mendel,Uprdelismus,,CZ,
Alois Jirasek,Staré pověsti české,Old Czech Legends,CZ,
Carlos Ruiz Zafon,Stín větru,The Shadow of the Wind,CZ,
Steven Levitsky,Jak umírá demokracie,How Democracies Die,CZ,
Jonas Karlsson,Místnost,The Room,CZ,
Jonas Karlsson,Faktura,The Invoice,CZ,
Niccolo Machiavelli,Vladař,The Prince,CZ,
Heather Morrisova,Tetovač z Osvětimi,The Tattooist of Auschwitz,CZ,
Susan Mallery,Letní čtenářský klub (nepřeloženo),The Summer Book Club,EN,
Jaroslav Kmenta,Rudý Zeman,,CZ,
Jaroslav Kmenta,Ruská mafie,,CZ,
Jaroslav Kmenta,Boss Babiš,,CZ,
Jaroslav Kmenta,Český špión Erwin Van Haarlem,,CZ,
Jaroslav Kmenta,Padrino Krejčíř Žralok,,CZ,
Jaroslav Kmenta,Babišovo palermo I,,CZ,Rozecteno
Jaroslav Kmenta,Babišovo palermo II,,CZ,
Jaroslav Kmenta,Kmotr Mrázek I,,CZ,
Jaroslav Kmenta,Kmotr Mrázek II,,CZ,
Jaroslav Kmenta,Kmotr Mrázek III,,CZ,
Albert Camus,Eseje,Essays,CZ,
Albert Camus,Cizinec,The Stranger,CZ,
Sarah J. Maas,Dvůr trnů a růží,A Court of Thorns and Roses,EN,
James Clear,Atomové návyky,Atomic Habits,CZ,
James Nestor,Dech,Breath,CZ,
Wim Hof,Ledový muž,The Wim Hof Method,CZ,
Wim Hof,Cesta ledového muže,The Wim Hof Method (companion),CZ,
Bohumil Dolezal,V zemi babisismu a buranokracie,,CZ,
Don Miguel Ruiz,Čtyři dohody,The Four Agreements,CZ,
Bozena Nemcova,Babička,Grandmother,CZ,
Jessikka Aro,Putinovi trollové,Putin's Trolls,CZ,Rozecteno
Josef Skvorecky,Zbabělci,The Cowards,CZ,
Tomas Kvapilik,Mozaika duše,,CZ,
Jordan B. Peterson,12 pravidel pro život,12 Rules for Life,CZ,
Sarah Waters,Cizí člověk (nepřeloženo),The Little Stranger,EN,
Austin Kleon,Jed dál,Keep Going,CZ,
Austin Kleon,Ukaž co děláš,Show Your Work!,CZ,
Austin Kleon,Krať jako umělec,Steal Like an Artist,CZ,
Dawn French,The Tw*t Files (nepřeloženo),The Twat Files,EN,
William Shakespeare,Hamlet,Hamlet,CZ?,
William Shakespeare,Kralevic Danský,The Prince of Denmark (Hamlet adaptation),CZ,
Malcolm Gladwell,Mžik,Blink,CZ,
Anette Hessova,Osvětimský proces,,CZ,
Kelly&Medina,Rebelové v práci (nepřeloženo),Rebels at Work,EN,
Andreas Edmuller,Velká kniha manipulativních technik,,CZ,
Chip Heath,Jak zaujmout hned napoprvé,Made to Stick,CZ,
James Swallow,Hacker,Nomad (or relevant title — verify),CZ?,
Walter Isaacson,Steve Jobs,Steve Jobs,CZ?,
Sara Saudkova,Špína za nehty,,CZ,
Yuval Noah Harari,Sapiens,Sapiens,CZ,
Yuval Noah Harari,21 lekcí pro 21. století,21 Lessons for the 21st Century,CZ,
Patrik Hartl,Manželství,,CZ,
Patrik Hartl,Malý pražský erotikon,,CZ,
Patrik Hartl,Nejlepší víkend,,CZ,
James Gleick,Chaos,Chaos: Making a New Science,CZ,Rozecteno do 70%
Chuck Palahniuk,Zalknutí,Choke,CZ,
Guilia Endersova,Střevo není tabu,Gut,CZ,
Paulo Coelho,Pátá hora,The Fifth Mountain,CZ,
Paulo Coelho,Alchymista,The Alchemist,CZ,
Paulo Coelho,Hipík,Hippie,CZ,
Karel Jaromir Erben,Kytice,A Bouquet of Czech Folk Tales,CZ,
Franz Kafka,Proměna a jiné povídky,The Metamorphosis and Other Stories,CZ,
Franz Kafka,Zámek,The Castle,CZ,
Franz Kafka,Proces,The Trial,CZ,
Karel Capek,Hovory s T.G. Masarykem,Talks with T.G. Masaryk,CZ,
Karel Capek,Povídky z jedné kapsy,Tales from One Pocket,CZ,
Karel Capek,Povídky z druhé kapsy,Tales from the Other Pocket,CZ,
Karel Capek,Bílá nemoc,The White Plague,CZ,
Alexandr Solzenicyn,Jeden den Ivana Děnisoviče,One Day in the Life of Ivan Denisovich,CZ,
Alexandr Solzenicyn,Souostroví Gulag 1,The Gulag Archipelago Vol. 1,CZ,
Alexandr Solzenicyn,Souostroví Gulag 2,The Gulag Archipelago Vol. 2,CZ,
Alexandr Solzenicyn,Souostroví Gulag 3,The Gulag Archipelago Vol. 3,CZ,
Tomas Forro,Donbas,,CZ,
Vaclav Havel,Letní přemítání,Summer Meditations,CZ,
Vaclav Havel,Zahradní slavnost,The Garden Party,CZ,
Vaclav Havel,Odcházení,Leaving,CZ,
Jen Sincero,Jsi prostě borec,You Are a Badass,CZ,
Renata Cervenkova,Labyrint pohybu,,CZ,
Haruki Murakami,Spánek,Sleep,CZ,
